"total","Freq"
"1874",1
"1877",1
"1878",2
"1881",2
"1882",1
"1883",1
"1885",1
"1887",45
"1888",5
"1889",2
"1890",6
"1891",10
"1892",9
"1893",3
"1894",99
"1895",115
"1896",851
"1897",1363
"1898",1796
"1899",1819
"1900",1860
"1901",1767
"1902",1808
"1903",2676
"1904",1837
"1905",1705
"1906",1861
"1907",2489
"1908",4284
"1909",5437
"1910",6415
"1911",7711
"1912",8725
"1913",9776
"1914",9354
"1915",8573
"1916",7056
"1917",5621
"1918",4740
"1919",4155
"1920",4535
"1921",4230
"1922",3602
"1923",3042
"1924",3095
"1925",3393
"1926",3404
"1927",3522
"1928",3501
"1929",3653
"1930",3190
"1931",3292
"1932",3079
"1933",2917
"1934",2993
"1935",2907
"1936",3362
"1937",3591
"1938",3428
"1939",3037
"1940",2625
"1941",2499
"1942",2419
"1943",2208
"1944",2043
"1945",2056
"1946",2566
"1947",2971
"1948",3658
"1949",5002
"1950",7351
"1951",8827
"1952",9394
"1953",9802
"1954",11797
"1955",12929
"1956",12880
"1957",14521
"1958",15347
"1959",15724
"1960",16761
"1961",17243
"1962",16739
"1963",19091
"1964",20507
"1965",23802
"1966",25161
"1967",26574
"1968",25553
"1969",28863
"1970",28691
"1971",29771
"1972",30208
"1973",31104
"1974",29563
"1975",29942
"1976",29821
"1977",29285
"1978",30284
"1979",29836
"1980",31450
"1981",30673
"1982",34289
"1983",34762
"1984",36868
"1985",37713
"1986",37722
"1987",40256
"1988",39944
"1989",42964
"1990",46479
"1991",48260
"1992",49726
"1993",54418
"1994",59061
"1995",66349
"1996",69732
"1997",74644
"1998",83729
"1999",88668
"2000",91454
"2001",100600
"2002",104192
"2003",116663
"2004",134826
"2005",148578
"2006",165058
"2007",183161
"2008",198009
"2009",209683
"2010",238369
"2011",270271
"2012",301276
"2013",321341
"2014",342474
"2015",359787
"2016",380487
"2017",401925
"2018",405892
"2019",388551
"2020",359013
"2021",273231