tconst,titleType,startYear,runtimeMinutes,averageRating,numVotes
tt0008879,movie,1918,60,7.2,1773
tt0008891,movie,1918,60,7,886
tt0008892,movie,1918,60,6,100
tt0008918,movie,1918,60,6.4,31
tt0008923,movie,1918,60,5.6,30
tt0008930,movie,1918,60,5.9,149
tt0008950,movie,1918,60,6,331
tt0008951,movie,1918,60,5.4,19
tt0008978,movie,1918,60,4.8,84
tt0008990,movie,1918,60,6.6,23
tt0008998,movie,1918,60,7.4,19
tt0009014,movie,1918,60,6,183
tt0009017,movie,1918,60,7.7,37
tt0009020,movie,1918,60,7.4,20
tt0009026,movie,1918,60,6.4,117
tt0009046,movie,1918,60,6.2,18
tt0009047,movie,1918,60,6.7,43
tt0009062,movie,1917,60,6.2,571
tt0009079,movie,1918,60,6.8,38
tt0009086,movie,1918,60,5.4,308
tt0009096,movie,1918,60,5.8,33
tt0009104,movie,1918,60,6.8,62
tt0009109,movie,1919,60,6.4,112
tt0009128,movie,1918,60,6.6,21
tt0009130,movie,1918,60,6.7,68
tt0009131,movie,1919,60,2.1,18
tt0009133,movie,1918,60,6.9,82
tt0009136,movie,1917,60,6.7,27
tt0009137,movie,1918,60,7.3,26
tt0009142,movie,1918,60,6.2,58
tt0009145,movie,1918,60,5.9,95
tt0009150,movie,1918,60,6.5,983
tt0009153,movie,1918,60,6.1,226
tt0009193,movie,1918,60,5.9,19
tt0009205,movie,1918,60,7.6,22
tt0009209,movie,1918,60,6.5,29
tt0009212,movie,1918,60,6,20
tt0009220,movie,1919,60,7.1,15
tt0009233,movie,1918,60,5.4,22
tt0009240,movie,1918,60,5.9,43
tt0009241,movie,1918,60,5.2,629
tt0009252,movie,1918,60,6.4,38
tt0009273,movie,1918,60,6.5,80
tt0009278,movie,1918,60,7,18
tt0009279,movie,1918,60,5.4,19
tt0009289,movie,1918,60,7.4,17
tt0009304,movie,1918,60,5.1,23
tt0009305,movie,1918,60,6.1,24
tt0009306,movie,1918,60,7.1,54
tt0009309,movie,1918,60,6.6,51
tt0009325,movie,1918,60,6,31
tt0009326,movie,1918,60,6.5,142
tt0009334,movie,1918,60,6.6,18
tt0009356,movie,1918,60,5.3,655
tt0009358,movie,1918,60,6.3,16
tt0009369,movie,1918,60,5.9,1117
tt0009376,movie,1918,60,7.3,16
tt0009400,movie,1918,60,7,23
tt0009405,movie,1918,60,6.3,40
tt0009416,movie,1918,60,4.6,17
tt0009420,movie,1918,60,6.3,39
tt0009423,movie,1918,60,6.1,15
tt0009425,movie,1918,60,7.3,17
tt0009431,movie,1918,60,5.9,9
tt0009440,movie,1918,60,6.4,212
tt0009445,movie,1918,60,8.4,32
tt0009475,movie,1918,60,4.5,512
tt0009480,movie,1918,60,6.6,21
tt0009492,movie,1918,60,7.4,28
tt0009494,movie,1918,59,4.4,42
tt0009523,movie,1918,59,6.8,21
tt0009527,movie,1918,59,7.2,20
tt0009544,movie,1918,59,8.3,34
tt0009546,movie,1918,59,5.2,26
tt0009549,movie,1918,59,7.1,18
tt0009550,movie,1918,59,7.1,56
tt0009554,movie,1918,59,5.6,17
tt0009559,movie,1919,59,6.1,390
tt0009560,movie,1918,59,6.3,50
tt0009561,movie,1918,59,6,17
tt0009568,movie,1919,59,6.9,45
tt0009573,movie,1918,59,6.3,42
tt0009578,movie,1918,59,2.6,20
tt0009580,movie,1918,59,3.9,40
tt0009587,movie,1918,59,5,15
tt0009596,movie,1918,58,5.7,18
tt0009600,movie,1918,58,5.7,22
tt0009608,movie,1918,58,5.2,738
tt0009630,movie,1918,58,6.9,23
tt0009637,movie,1918,58,7.6,19
tt0009650,movie,1918,58,5.9,40
tt0009651,movie,1918,58,6.3,32
tt0009652,movie,1918,58,6.8,1452
tt0009666,movie,1918,58,7,15
tt0009677,movie,1918,58,6.8,23
tt0009682,movie,1918,58,5.8,786
tt0009690,movie,1918,58,4.4,43
tt0009694,movie,1918,58,6.3,105
tt0009696,movie,1918,58,4.4,43
tt0009700,movie,1918,57,5,17
tt0009701,movie,1918,57,7.1,347
tt0009702,movie,1918,57,5.8,21
tt0009721,movie,1917,57,6.7,26
tt0009737,movie,1918,57,5.9,130
tt0009750,movie,1918,57,4.4,20
tt0009757,movie,1918,57,7,47
tt0009765,movie,1918,57,5.1,50
tt0009766,movie,1918,56,5.4,24
tt0009789,movie,1918,56,6.1,15
tt0009790,movie,1918,56,5.8,13
tt0009796,movie,1918,56,6.8,311
tt0009811,movie,1918,56,4.7,45
tt0009825,movie,1918,56,6,38
tt0009827,movie,1918,56,5.5,21
tt0009829,movie,1918,56,5.4,27
tt0009837,movie,1918,56,4.5,60
tt0009842,movie,1918,56,6.6,19
tt0009843,movie,1918,56,6.4,13
tt0009858,movie,1919,56,6.7,34
tt0009859,movie,1919,56,4.9,63
tt0009861,movie,1919,56,1,17
tt0009878,movie,1919,56,7,1253
tt0009879,movie,1919,56,7.2,74
tt0009890,movie,1919,55,4.9,17
tt0009892,movie,1919,55,5.8,1146
tt0009893,movie,1919,55,7.2,1812
tt0009894,movie,1919,55,7.1,202
tt0009900,movie,1919,55,6.3,915
tt0009903,movie,1919,55,4,54
tt0009905,movie,1919,55,7.2,86
tt0009915,movie,1919,55,7.2,270
tt0009918,movie,1919,55,7.8,60
tt0009922,movie,1919,55,5,15
tt0009937,movie,1919,55,7,1463
tt0009950,movie,1919,55,5.2,52
tt0009960,movie,1919,55,6.9,19
tt0009968,movie,1919,55,7.3,9979
tt0009969,movie,1919,55,6.4,140
tt0009972,movie,1919,54,6,19
tt0009976,movie,1919,54,5.8,706
tt0009987,movie,1919,54,6.6,16
tt0009989,movie,1919,54,6.7,23
tt0009991,movie,1919,54,6.1,20
tt0010002,movie,1919,54,5,16
tt0010008,movie,1919,54,8.3,46
tt0010010,movie,1919,54,7.3,17
tt0010032,movie,1919,54,6.6,16
tt0010040,movie,1919,54,6.5,1397
tt0010045,movie,1919,54,5.4,57
tt0010049,movie,1919,54,8.1,48
tt0010060,movie,1919,54,6,861
tt0010061,movie,1919,54,6.9,69
tt0010071,movie,1919,54,6.6,1204
tt0010087,movie,1919,53,5.1,16
tt0010102,movie,1919,53,5.5,24
tt0010103,movie,1919,53,5.5,678
tt0010108,movie,1919,53,6.9,159
tt0010112,movie,1919,53,6,94
tt0010113,movie,1919,53,6.1,47
tt0010119,movie,1919,53,4.4,56
tt0010131,movie,1919,53,5.4,15
tt0010133,movie,1919,53,4.2,19
tt0010137,movie,1919,53,5.8,735
tt0010162,movie,1919,53,6.4,234
tt0010176,movie,1919,52,6.1,10
tt0010180,movie,1918,52,7,101
tt0010189,movie,1919,52,6.1,23
tt0010193,movie,1919,52,5.8,719
tt0010195,movie,1919,52,6.7,288
tt0010198,movie,1919,52,4.5,71
tt0010201,movie,1919,52,5.9,35
tt0010203,movie,1919,52,6.9,76
tt0010206,movie,1919,52,6.6,110
tt0010208,movie,1919,52,5.6,673
tt0010209,movie,1919,52,6.2,18
tt0010215,movie,1919,52,6.9,30
tt0010219,movie,1919,52,4.4,393
tt0010227,movie,1919,52,5.9,549
tt0010229,movie,1919,51,5.7,22
tt0010244,movie,1919,51,7.3,41
tt0010247,movie,1919,51,7.2,1350
tt0010248,movie,1919,51,6,54
tt0010255,movie,1919,51,6.3,82
tt0010259,movie,1919,51,6.6,39
tt0010267,movie,1919,51,6.7,983
tt0010276,movie,1919,50,5.3,21
tt0010281,movie,1918,50,6.9,1405
tt0010292,movie,1919,50,6.5,20
tt0010298,movie,1919,50,6.9,157
tt0010307,movie,1919,50,7.7,1678
tt0010313,movie,1919,50,5.5,34
tt0010315,movie,1919,50,6.8,32
tt0010319,movie,1919,50,1.9,18
tt0010325,movie,1919,50,5.7,22
tt0010330,movie,1919,50,7.1,58
tt0010331,movie,1919,50,6.6,22
tt0010352,movie,1919,50,5.3,24
tt0010356,movie,1919,50,6,58
tt0010357,movie,1919,50,5.9,42
tt0010386,movie,1919,50,6.7,117
tt0010402,movie,1919,50,6.4,74
tt0010408,movie,1919,50,3.5,25
tt0010418,movie,1919,50,7,1837
tt0010419,movie,1919,50,6.6,23
tt0010422,movie,1919,50,5.7,17
tt0010432,movie,1919,50,1.1,24
tt0010438,movie,1919,50,4.7,63
tt0010444,movie,1919,50,6.4,21
tt0010456,movie,1919,50,6,196
tt0010466,movie,1919,50,6.8,243
tt0010469,movie,1919,50,5.6,14
tt0010476,movie,1919,50,6.1,29
tt0010483,movie,1919,50,7.3,19
tt0010484,movie,1919,50,7,198
tt0010490,movie,1919,50,6.6,36
tt0010499,movie,1919,50,7.1,24
tt0010501,movie,1919,50,6,19
tt0010507,movie,1919,50,6.8,15
tt0010532,movie,1919,50,6.7,18
tt0010533,movie,1919,50,5.9,118
tt0010534,movie,1919,50,5.5,41
tt0010544,movie,1919,50,4.1,60
tt0010548,movie,1919,50,6.8,32
tt0010559,movie,1919,50,6.4,174
tt0010562,movie,1919,50,6.9,21
tt0010565,movie,1919,50,6.9,14
tt0010570,movie,1919,50,6.7,16
tt0010596,movie,1919,50,5.7,12
tt0010598,movie,1919,50,6.6,926
tt0010600,movie,1919,50,7.4,1888
tt0010616,movie,1919,50,6.5,70
tt0010622,movie,1919,50,6.8,13
tt0010628,movie,1919,50,4.7,55
tt0010629,movie,1919,50,4,43
tt0010630,movie,1919,50,5.5,18
tt0010635,movie,1919,50,5.3,626
tt0010640,movie,1919,50,3.9,45
tt0010641,movie,1919,50,6.5,30
tt0010654,movie,1919,50,4.1,18
tt0010662,movie,1919,50,5.1,455
tt0010674,movie,1919,50,6.5,34
tt0010680,movie,1919,50,6.4,268
tt0010690,movie,1919,50,5.9,17
tt0010694,movie,1919,50,6.5,24
tt0010703,movie,1919,50,6.4,38
tt0010715,movie,1919,50,6.1,20
tt0010719,movie,1919,50,7,14
tt0010726,movie,1919,50,6.6,1202
tt0010729,movie,1919,50,5.9,25
tt0010733,movie,1919,50,6.9,21
tt0010754,movie,1919,50,6.5,48
tt0010755,movie,1919,50,6.9,211
tt0010766,movie,1919,50,7.4,33
tt0010767,movie,1919,50,6.8,52
tt0010781,movie,1919,50,3.5,20
tt0010791,movie,1919,50,6.5,87
tt0010793,movie,1919,50,7,20
tt0010795,movie,1919,50,7,39
tt0010806,movie,1919,50,7,1763
tt0010813,movie,1919,50,7.8,11
tt0010821,movie,1919,50,6.5,517
tt0010822,movie,1919,50,6.1,23
tt0010844,movie,1919,50,6.6,396
tt0010847,movie,1919,50,6.4,25
tt0010849,movie,1919,50,6.6,27
tt0010853,movie,1919,50,6.6,185
tt0010879,movie,1919,50,6.9,869
tt0010890,movie,1919,50,6.5,409
tt0010900,movie,1919,50,2.1,18
tt0010905,movie,1919,50,8.3,39
tt0010920,movie,1919,50,6.3,28
tt0010925,movie,1919,50,5.5,772
tt0011241,movie,1919,50,3.3,31
tt0122328,movie,1917,50,6.1,12
tt0122466,movie,1919,50,6,18
tt0125242,movie,1916,50,4.7,34
tt0126284,movie,1915,50,5,15
tt0126375,movie,1919,50,6.2,8
tt0127014,movie,1916,50,5.2,16
tt0127028,movie,1919,50,6.1,107
tt0127544,movie,1915,50,6.2,70
tt0127630,movie,1917,50,6.1,62
tt0128276,movie,1918,50,2.9,26
tt0128813,movie,1916,50,6.5,336
tt0128954,movie,1911,50,5.4,120
tt0129045,movie,1915,50,5.4,15
tt0129219,movie,1917,50,4.7,11
tt0129323,movie,1915,50,5.5,18
tt0129339,movie,1915,50,4.5,10
tt0129968,movie,1919,50,2.9,26
tt0130001,movie,1916,50,6.7,25
tt0130002,movie,1916,50,6.4,16
tt0130004,movie,1916,50,6.6,19
tt0130005,movie,1917,50,6.2,17
tt0131434,movie,1911,50,5.7,38
tt0132127,movie,1918,50,6.3,51
tt0132278,movie,1916,50,6.4,34
tt0132536,movie,1913,50,5.6,63
tt0136578,movie,1915,50,6.1,21
tt0138846,movie,1913,50,4.8,16
tt0140641,movie,1919,50,7.3,48
tt0140869,movie,1918,50,5.4,54
tt0142199,movie,1917,50,6.2,39
tt0150388,movie,1919,50,6.6,574
tt0158877,movie,1916,50,7.9,19
tt0158973,movie,1916,50,5.4,22
tt0159534,movie,1916,50,5.2,17
tt0160056,movie,1917,50,4.1,29
tt0160467,movie,1918,50,6.7,86
tt0161378,movie,1918,50,6.7,45
tt0162496,movie,1915,50,6.1,72
tt0162536,movie,1914,50,6.5,262
tt0164083,movie,1913,50,4.7,19
tt0171301,movie,1918,50,5.6,48
tt0173837,movie,1915,50,6.5,138
tt0173845,movie,1915,50,6.9,40
tt0173869,movie,1916,50,6.9,123
tt0174714,movie,1917,50,5.9,23
tt0175524,movie,1918,50,6.2,133
tt0176834,movie,1912,50,6.3,103
tt0177041,movie,1915,50,5.4,31
tt0177163,movie,1913,50,5.9,25
tt0177651,movie,1917,50,6.8,23
tt0178376,movie,1917,50,7,10
tt0178759,movie,1917,50,4.5,23
tt0178983,movie,1904,50,5.4,326
tt0180306,movie,1916,50,6,41
tt0181629,movie,1918,50,4.5,20
tt0181715,movie,1917,50,7.4,29
tt0181744,movie,1917,50,7.7,19
tt0181759,movie,1910,50,3.8,16
tt0181765,movie,1917,50,5.4,19
tt0182401,movie,1917,50,5.3,14
tt0182427,movie,1917,50,5.5,19
tt0183803,movie,1919,50,7,35
tt0183812,movie,1914,50,6,12
tt0184033,movie,1917,50,7.1,85
tt0184572,movie,1918,50,5.4,33
tt0184703,movie,1913,50,5.9,58
tt0186650,movie,1917,50,7.2,941
tt0187473,movie,1918,50,7.3,30
tt0188405,movie,1914,50,5.7,25
tt0189984,movie,1909,50,6,12
tt0190038,movie,1918,50,5.4,105
tt0190137,movie,1918,50,7.5,15
tt0191251,movie,1919,50,2.4,35
tt0191263,movie,1919,50,7.8,50
tt0191323,movie,1911,50,5.9,186
tt0191896,movie,1919,50,6.6,226
tt0192441,movie,1919,50,5.6,16
tt0192570,movie,1919,50,6.6,15
tt0193375,movie,1912,50,5.2,34
tt0193434,movie,1917,50,3.6,33
tt0193571,movie,1918,50,5.7,31
tt0193947,movie,1919,50,6.7,46
tt0194248,movie,1911,50,5.7,142
tt0194536,movie,1919,50,6,15
tt0194860,movie,1917,50,6.4,23
tt0194889,movie,1917,50,7,34
tt0196172,movie,1912,50,3.9,23
tt0198559,movie,1919,50,7.3,521
tt0199732,movie,1914,50,5.5,25
tt0201063,movie,1914,50,6.5,83
tt0201403,movie,1912,50,5.8,107
tt0201501,movie,1916,50,2.7,13
tt0203943,movie,1910,50,6.2,20
tt0207334,movie,1919,50,7.2,17
tt0207409,movie,1913,50,6,36
tt0208601,movie,1913,50,5.4,8
tt0211075,movie,1915,50,6.3,35
tt0212633,movie,1916,50,6.8,420
tt0219645,movie,1919,50,6.7,32
tt0221228,movie,1918,50,5.2,31
tt0228185,movie,1918,50,2,14
tt0230366,movie,1899,50,3.9,65
tt0231984,movie,1913,50,5.7,31
tt0233985,movie,1910,50,5.8,124
tt0239639,movie,1913,50,4.6,20
tt0241044,movie,1918,50,7.5,15
tt0241548,movie,1917,50,6.2,35
tt0243880,movie,1912,50,7.3,26
tt0244967,movie,1914,50,4.6,23
tt0247195,movie,1919,50,6.4,19
tt0249383,movie,1915,50,7.4,65
tt0253174,movie,1919,50,5.5,99
tt0257435,movie,1919,50,4.5,15
tt0261935,movie,1916,50,7.2,38
tt0266688,movie,1911,50,6.1,196
tt0266894,movie,1900,50,6,39
tt0278325,movie,1916,50,6.9,26
tt0279914,movie,1916,50,5.5,58
tt0289221,movie,1916,50,5.9,39
tt0291338,movie,1900,50,5.8,16
tt0299498,movie,1911,50,4.5,25
tt0299510,movie,1918,50,5.8,72
tt0309507,movie,1916,50,7.4,16
tt0310692,movie,1913,50,6.4,179
tt0311681,movie,1913,50,6.2,87
tt0311692,movie,1916,50,6.4,17
tt0313622,movie,1916,50,3.8,44
tt0316241,movie,1913,50,5,169
tt0319120,movie,1919,50,5,11
tt0319904,movie,1912,50,6.8,358
tt0321185,movie,1917,50,6.7,20
tt0321656,movie,1916,50,7,13
tt0322038,movie,1916,50,6.1,12
tt0322123,movie,1917,50,7.2,7
tt0322124,movie,1916,50,6.2,62
tt0330236,movie,1917,50,6.2,26
tt0331084,movie,1918,50,4.5,36
tt0336247,movie,1913,50,6.4,48
tt0336428,movie,1917,50,6.9,73
tt0342837,movie,1912,50,7,7
tt0348304,movie,1916,50,5.7,25
tt0350950,movie,1918,50,4.7,12
tt0351037,movie,1916,50,6.1,34
tt0356838,movie,1915,50,6.5,19
tt0361094,movie,1911,50,4.8,49
tt0368309,movie,1913,50,6.6,607
tt0393807,movie,1913,50,5.7,68
tt0400955,movie,1913,50,5.9,21
tt0418056,movie,1916,50,7.1,41
tt0427592,movie,1919,50,6.6,250
tt0427653,movie,1917,50,1,16
tt0434033,movie,1913,50,6.6,15
tt0436670,movie,1916,50,6.4,17
tt0438377,movie,1914,50,6.8,71
tt0438537,movie,1915,49,5.6,12
tt0440511,movie,1913,49,5.6,12
tt0441279,movie,1918,49,5.8,11
tt0442327,movie,1918,49,6.2,42
tt0449233,movie,1914,49,6.2,28
tt0455390,movie,1914,49,7.3,20
tt0456835,movie,1917,49,5,11
tt0461834,movie,1914,49,6.4,14
tt0466434,movie,1912,48,5.8,48
tt0478582,movie,1917,48,5.5,17
tt0497639,movie,1918,48,6.3,119
tt0499428,movie,1917,48,7.8,50
tt0783751,movie,1918,48,6.4,20
tt0795927,movie,1915,48,6.1,138
tt0891538,movie,1918,48,6.5,16
tt0921785,movie,1914,48,4.5,17
tt0953324,movie,1918,48,5.9,37
tt0963313,movie,1918,48,5.4,19
tt0978622,movie,1915,48,6.1,25
tt10028410,movie,1915,48,5,7
tt1041763,movie,1913,48,5.2,30
tt1138127,movie,1918,48,5.5,19
tt12432806,movie,1918,47,7.7,12
tt12432826,movie,1914,47,7.5,16
tt1265120,movie,1914,47,6.7,21
tt1337250,movie,1910,47,6.1,28
tt14006802,movie,1905,47,6.4,7
tt1411608,movie,1915,46,4.4,7
tt1453259,movie,1917,46,7.1,24
tt1611210,movie,1910,46,4.4,14
tt1672749,movie,1918,46,6.6,31
tt1796396,movie,1918,46,5.5,16
tt1799590,movie,1907,46,6.6,47
tt1829708,movie,1912,46,6.1,23
tt2122384,movie,1916,46,7,165
tt2122389,movie,1916,45,7,174
tt2122391,movie,1916,45,7,164
tt2122392,movie,1916,45,6.8,176
tt2122393,movie,1916,45,6.8,173
tt2189300,movie,1913,45,5.5,32
tt2210499,movie,1896,45,6.4,13
tt2261737,movie,1919,45,7.3,18
tt2364210,movie,1914,45,6,26
tt2399036,movie,1913,45,6,26
tt2746744,movie,1917,45,6.5,48
tt2751416,movie,1919,45,5,9
tt4288356,movie,1913,45,6.1,39
tt4695394,movie,1914,45,6,10
tt5505320,movie,1916,45,6.8,47
tt6350952,movie,1914,45,5.7,8
tt8801828,movie,1918,45,6.7,10