titleType,startYear,Freq
movie,1896,1
tvEpisode,1896,0
videoGame,1896,0
movie,1897,1
tvEpisode,1897,0
videoGame,1897,0
movie,1898,7
tvEpisode,1898,0
videoGame,1898,0
movie,1899,8
tvEpisode,1899,0
videoGame,1899,0
movie,1900,6
tvEpisode,1900,0
videoGame,1900,0
movie,1901,7
tvEpisode,1901,0
videoGame,1901,0
movie,1902,4
tvEpisode,1902,0
videoGame,1902,0
movie,1903,3
tvEpisode,1903,0
videoGame,1903,0
movie,1904,2
tvEpisode,1904,0
videoGame,1904,0
movie,1905,18
tvEpisode,1905,0
videoGame,1905,0
movie,1906,23
tvEpisode,1906,1
videoGame,1906,0
movie,1907,15
tvEpisode,1907,1
videoGame,1907,0
movie,1908,23
tvEpisode,1908,1
videoGame,1908,0
movie,1909,94
tvEpisode,1909,0
videoGame,1909,0
movie,1910,110
tvEpisode,1910,0
videoGame,1910,0
movie,1911,167
tvEpisode,1911,0
videoGame,1911,0
movie,1912,351
tvEpisode,1912,1
videoGame,1912,0
movie,1913,683
tvEpisode,1913,1
videoGame,1913,0
movie,1914,1160
tvEpisode,1914,1
videoGame,1914,0
movie,1915,1638
tvEpisode,1915,0
videoGame,1915,0
movie,1916,2097
tvEpisode,1916,0
videoGame,1916,0
movie,1917,2185
tvEpisode,1917,0
videoGame,1917,0
movie,1918,2236
tvEpisode,1918,0
videoGame,1918,0
movie,1919,2453
tvEpisode,1919,0
videoGame,1919,0
movie,1920,2648
tvEpisode,1920,0
videoGame,1920,0
movie,1921,2587
tvEpisode,1921,2
videoGame,1921,0
movie,1922,2175
tvEpisode,1922,3
videoGame,1922,0
movie,1923,1911
tvEpisode,1923,3
videoGame,1923,0
movie,1924,1923
tvEpisode,1924,3
videoGame,1924,0
movie,1925,2065
tvEpisode,1925,5
videoGame,1925,0
movie,1926,2045
tvEpisode,1926,5
videoGame,1926,0
movie,1927,2166
tvEpisode,1927,5
videoGame,1927,0
movie,1928,2141
tvEpisode,1928,2
videoGame,1928,0
movie,1929,2020
tvEpisode,1929,3
videoGame,1929,0
movie,1930,1980
tvEpisode,1930,28
videoGame,1930,0
movie,1931,2053
tvEpisode,1931,27
videoGame,1931,0
movie,1932,2078
tvEpisode,1932,30
videoGame,1932,0
movie,1933,1997
tvEpisode,1933,40
videoGame,1933,0
movie,1934,1919
tvEpisode,1934,65
videoGame,1934,0
movie,1935,1946
tvEpisode,1935,36
videoGame,1935,0
movie,1936,2229
tvEpisode,1936,95
videoGame,1936,0
movie,1937,2125
tvEpisode,1937,300
videoGame,1937,0
movie,1938,1980
tvEpisode,1938,265
videoGame,1938,0
movie,1939,1871
tvEpisode,1939,96
videoGame,1939,0
movie,1940,1758
tvEpisode,1940,58
videoGame,1940,0
movie,1941,1529
tvEpisode,1941,37
videoGame,1941,0
movie,1942,1465
tvEpisode,1942,26
videoGame,1942,0
movie,1943,1327
tvEpisode,1943,46
videoGame,1943,0
movie,1944,1166
tvEpisode,1944,48
videoGame,1944,0
movie,1945,1121
tvEpisode,1945,79
videoGame,1945,0
movie,1946,1312
tvEpisode,1946,191
videoGame,1946,0
movie,1947,1500
tvEpisode,1947,420
videoGame,1947,0
movie,1948,1628
tvEpisode,1948,811
videoGame,1948,1
movie,1949,1784
tvEpisode,1949,1862
videoGame,1949,0
movie,1950,1913
tvEpisode,1950,4077
videoGame,1950,1
movie,1951,1884
tvEpisode,1951,5540
videoGame,1951,0
movie,1952,2029
tvEpisode,1952,5832
videoGame,1952,2
movie,1953,2094
tvEpisode,1953,5940
videoGame,1953,0
movie,1954,2118
tvEpisode,1954,7849
videoGame,1954,0
movie,1955,2195
tvEpisode,1955,8702
videoGame,1955,0
movie,1956,2373
tvEpisode,1956,8436
videoGame,1956,0
movie,1957,2487
tvEpisode,1957,9571
videoGame,1957,0
movie,1958,2534
tvEpisode,1958,10382
videoGame,1958,1
movie,1959,2571
tvEpisode,1959,10546
videoGame,1959,0
movie,1960,2679
tvEpisode,1960,11249
videoGame,1960,0
movie,1961,2733
tvEpisode,1961,11403
videoGame,1961,0
movie,1962,2711
tvEpisode,1962,10859
videoGame,1962,2
movie,1963,2639
tvEpisode,1963,12728
videoGame,1963,0
movie,1964,2861
tvEpisode,1964,13859
videoGame,1964,1
movie,1965,3166
tvEpisode,1965,16905
videoGame,1965,0
movie,1966,3199
tvEpisode,1966,18148
videoGame,1966,0
movie,1967,3279
tvEpisode,1967,19115
videoGame,1967,0
movie,1968,3697
tvEpisode,1968,17963
videoGame,1968,0
movie,1969,3821
tvEpisode,1969,20965
videoGame,1969,3
movie,1970,4088
tvEpisode,1970,20592
videoGame,1970,2
movie,1971,4069
tvEpisode,1971,21680
videoGame,1971,6
movie,1972,3976
tvEpisode,1972,22245
videoGame,1972,30
movie,1973,3890
tvEpisode,1973,23154
videoGame,1973,51
movie,1974,3768
tvEpisode,1974,21801
videoGame,1974,43
movie,1975,4015
tvEpisode,1975,21742
videoGame,1975,159
movie,1976,3890
tvEpisode,1976,21667
videoGame,1976,134
movie,1977,3826
tvEpisode,1977,21218
videoGame,1977,183
movie,1978,3954
tvEpisode,1978,21719
videoGame,1978,144
movie,1979,4089
tvEpisode,1979,21017
videoGame,1979,153
movie,1980,4041
tvEpisode,1980,22372
videoGame,1980,171
movie,1981,4050
tvEpisode,1981,21510
videoGame,1981,236
movie,1982,4038
tvEpisode,1982,24877
videoGame,1982,333
movie,1983,4179
tvEpisode,1983,24979
videoGame,1983,368
movie,1984,4380
tvEpisode,1984,26388
videoGame,1984,348
movie,1985,4451
tvEpisode,1985,26708
videoGame,1985,305
movie,1986,4359
tvEpisode,1986,26616
videoGame,1986,334
movie,1987,4389
tvEpisode,1987,28607
videoGame,1987,363
movie,1988,4535
tvEpisode,1988,28006
videoGame,1988,376
movie,1989,4515
tvEpisode,1989,30653
videoGame,1989,437
movie,1990,4812
tvEpisode,1990,33536
videoGame,1990,478
movie,1991,4378
tvEpisode,1991,35299
videoGame,1991,544
movie,1992,4334
tvEpisode,1992,35788
videoGame,1992,578
movie,1993,4179
tvEpisode,1993,40003
videoGame,1993,634
movie,1994,4106
tvEpisode,1994,44225
videoGame,1994,650
movie,1995,4284
tvEpisode,1995,50312
videoGame,1995,618
movie,1996,4309
tvEpisode,1996,53271
videoGame,1996,600
movie,1997,4600
tvEpisode,1997,57331
videoGame,1997,520
movie,1998,4732
tvEpisode,1998,64830
videoGame,1998,566
movie,1999,4906
tvEpisode,1999,68232
videoGame,1999,617
movie,2000,5112
tvEpisode,2000,69202
videoGame,2000,648
movie,2001,5452
tvEpisode,2001,76146
videoGame,2001,655
movie,2002,5696
tvEpisode,2002,77729
videoGame,2002,660
movie,2003,5892
tvEpisode,2003,86382
videoGame,2003,611
movie,2004,6425
tvEpisode,2004,99661
videoGame,2004,600
movie,2005,7390
tvEpisode,2005,107933
videoGame,2005,648
movie,2006,7846
tvEpisode,2006,121303
videoGame,2006,734
movie,2007,8570
tvEpisode,2007,136092
videoGame,2007,706
movie,2008,10028
tvEpisode,2008,146586
videoGame,2008,728
movie,2009,11462
tvEpisode,2009,151527
videoGame,2009,746
movie,2010,12254
tvEpisode,2010,173110
videoGame,2010,779
movie,2011,13187
tvEpisode,2011,196691
videoGame,2011,806
movie,2012,14155
tvEpisode,2012,220088
videoGame,2012,866
movie,2013,14837
tvEpisode,2013,234570
videoGame,2013,925
movie,2014,15898
tvEpisode,2014,249566
videoGame,2014,992
movie,2015,16459
tvEpisode,2015,264542
videoGame,2015,1202
movie,2016,17682
tvEpisode,2016,278963
videoGame,2016,1263
movie,2017,18053
tvEpisode,2017,296831
videoGame,2017,1335
movie,2018,17933
tvEpisode,2018,300923
videoGame,2018,1213
movie,2019,17343
tvEpisode,2019,291069
videoGame,2019,1241
movie,2020,14820
tvEpisode,2020,270241
videoGame,2020,881
movie,2021,14704
tvEpisode,2021,209010
videoGame,2021,657