tconst,titleType,primaryTitle,startYear,averageRating,numVotes
tt0001475,movie,Amor fatal,1911,9.2,20
tt0001498,movie,The Battle of Trafalgar,1911,9,12
tt0002305,movie,Life of Villa,1912,8.7,27
tt0002637,movie,Arizona,1913,8.7,17
tt0003014,movie,Ingeborg Holm,1913,8.6,1148
tt0003386,movie,Sodoms Ende,1913,8.6,15
tt0003686,movie,The Boer War,1914,8.3,14
tt0003692,movie,The Boundary Rider,1914,8.3,17
tt0003740,movie,Cabiria,1914,8.3,3422
tt0003748,movie,Captain Alvarez,1914,8.3,16
tt0004182,movie,The Jungle,1914,8.2,63
tt0004291,movie,The Man Who Could Not Lose,1914,8.2,14
tt0004295,movie,The Man from Mexico,1914,8.1,39
tt0004371,movie,The Mysterious Man of the Jungle,1914,8.1,18
tt0004496,movie,A Prince of India,1914,8.1,14